Year,Punitive,Administrative,Military,Undefined,Total
1967,0,0,"2,187","5,367","7,554"
1968,0,0,0,0,0
1969,0,0,0,0,0
1970,0,0,0,191,191
1971,0,0,6000,231,"2,231"
1972,0,0,0,35,35
1973,0,0,100,34,134
1974,0,0,0,61,61
1975,0,0,0,77,77
1976,0,0,0,24,24
1977,0,0,0,1,1
1978,0,0,0,2,2
1979,0,0,0,18,18
1980,0,0,0,30,30
1981,0,0,0,24,24
1982,0,0,0,35,35
1983,12,0,0,0,12
1984,2,0,0,0,2
1985,44,0,0,0,44
1986,49,0,0,0,49
1987,1,103,0,0,104
1988,164,423,0,0,587
1989,220,347,0,0,567
1990,204,102,0,0,306
1991,80,227,0,0,307
1992,33,160,0,0,193
1993,19,111,0,0,130
1994,4,149,0,0,153
1995,1,68,0,0,69
1996,11,157,0,0,168
1997,8,249,0,0,257
1998,0,180,0,0,180
1999,0,142,0,0,142
2000,0,59,0,0,59
2001,10,227,0,0,227
2002,251,319,3418,0,3988
2003,227,405,0,0,632
2004,177,291,0,0,468
2005,4,211,75,0,290
2006,0,146,256,0,402
2007,0,286,73,0,359
2008,0,291,79,0,377
2009,1,275,"4,247",0,"4,523"
2010,0,439,0,0,439
2011,0,622,0,0,622
2012,0,604,450,0,604
2013,0,663,0,0,663
2014,4,515,"18,000",0,"18,519"
2015,0,511,0,0,511
2016,0,1094,0,0,1094
2017,0,423,0,0,423
2018,0,0,0,0,457
2019,0,623,30,0,653
2020,0,865,0,0,865
2021,3,938,0,0,941
2022,11,843,3,0,857
2023,22,898,"65,475",0,"66,395"
2024,2,"1,277",83,0,"1,362"
2025,13,412,14,0,439